Timestamp,Tank Level,Pump Status
0,50.31,1
1,50.69,1
2,51.02,1
3,51.31,1
4,51.79,1
5,52.0,1
6,52.33,1
7,52.74,1
8,52.94,1
9,53.29,1
10,53.7,1
11,54.09,1
12,54.54,1
13,54.91,1
14,55.35,1
15,55.53,1
16,55.75,1
17,56.24,1
18,56.46,1
19,56.82,1
20,57.27,1
21,57.5,1
22,57.74,1
23,58.18,1
24,58.46,1
25,58.65,1
26,58.86,1
27,59.17,1
28,59.62,1
29,60.04,1
30,60.5,1
31,60.67,1
32,60.95,1
33,61.05,1
34,61.21,1
35,61.51,1
36,61.81,1
37,61.92,1
38,62.04,1
39,62.37,1
40,62.8,1
41,62.91,1
42,63.39,1
43,63.66,1
44,64.14,1
45,64.35,1
46,64.68,1
47,65.17,1
48,65.49,1
49,65.81,1
50,66.3,1
51,66.71,1
52,67.17,1
53,67.32,1
54,67.8,1
55,68.28,1
56,68.48,1
57,68.91,1
58,69.38,1
59,69.59,1
60,69.77,1
61,70.15,1
62,70.26,1
63,70.66,1
64,70.96,1
65,71.14,1
66,71.61,1
67,71.72,1
68,72.01,1
69,72.27,1
70,72.73,1
71,72.99,1
72,73.41,1
73,73.8,1
74,74.12,1
75,74.24,1
76,74.48,1
77,74.72,1
78,75.13,1
79,75.49,1
80,75.75,1
81,76.12,1
82,76.49,1
83,76.62,1
84,76.92,1
85,77.28,1
86,77.52,1
87,77.92,1
88,78.34,1
89,78.45,1
90,78.66,1
91,78.78,1
92,78.98,1
93,79.42,1
94,79.66,1
95,80.15,1
96,80.51,1
97,80.72,1
98,81.07,1
99,81.33,1
100,81.61,1
101,82.1,1
102,82.34,1
103,82.81,1
104,82.92,1
105,83.2,1
106,83.61,1
107,83.93,1
108,84.04,1
109,84.4,1
110,84.53,1
111,84.98,1
112,85.34,1
113,85.8,1
114,86.14,1
115,86.62,1
116,87.11,1
117,87.56,1
118,87.8,1
119,87.92,1
120,88.27,1
121,88.51,1
122,88.97,1
123,89.32,1
124,89.47,1
125,89.7,1
126,89.82,1
127,90.22,1
128,90.33,1
129,90.52,1
130,90.74,1
131,90.84,1
132,91.01,1
133,91.17,1
134,91.52,1
135,91.67,1
136,91.85,1
137,92.02,1
138,92.16,1
139,92.6,1
140,92.83,1
141,93.1,1
142,93.33,1
143,93.79,1
144,93.96,1
145,94.44,1
146,94.89,1
147,95.18,1
148,95.64,1
149,95.93,1
150,96.43,1
151,96.75,1
152,97.24,1
153,97.37,1
154,97.85,1
155,97.95,1
156,98.2,1
157,98.64,1
158,98.91,1
159,99.27,1
160,99.68,1
161,99.99,1
162,100,1
163,99.72,0
164,99.43,0
165,99.06,0
166,98.66,0
167,98.24,0
168,97.87,0
169,97.5,0
170,97.22,0
171,96.78,0
172,96.67,0
173,96.54,0
174,96.41,0
175,96.29,0
176,95.98,0
177,95.81,0
178,95.58,0
179,95.3,0
180,95.08,0
181,94.84,0
182,94.42,0
183,94.29,0
184,94.12,0
185,93.78,0
186,93.48,0
187,93.02,0
188,92.55,0
189,92.34,0
190,91.96,0
191,91.5,0
192,91.0,0
193,90.87,0
194,90.38,0
195,90.03,0
196,89.92,0
197,89.69,0
198,89.48,0
199,89.16,0
200,88.95,0
201,88.66,0
202,88.19,0
203,87.84,0
204,87.68,0
205,87.33,0
206,87.21,0
207,86.8,0
208,86.58,0
209,86.48,0
210,86.21,0
211,85.81,0
212,85.69,0
213,85.34,0
214,85.09,0
215,84.6,0
216,84.38,0
217,84.21,0
218,83.77,0
219,83.33,0
220,82.83,0
221,82.56,0
222,82.32,0
223,82.13,0
224,82.02,0
225,81.71,0
226,81.58,0
227,81.37,0
228,81.05,0
229,80.93,0
230,80.54,0
231,80.12,0
232,79.95,0
233,79.6,0
234,79.23,0
235,78.97,0
236,78.74,0
237,78.61,0
238,78.25,0
239,78.13,0
240,77.64,0
241,77.21,0
242,76.91,0
243,76.61,0
244,76.46,0
245,76.21,0
246,75.82,0
247,75.6,0
248,75.5,0
249,75.23,0
250,74.86,0
251,74.37,0
252,73.94,0
253,73.75,0
254,73.29,0
255,73.02,0
256,72.91,0
257,72.64,0
258,72.45,0
259,71.96,0
260,71.65,0
261,71.49,0
262,71.24,0
263,70.82,0
264,70.41,0
265,70.19,0
266,70.02,0
267,69.77,0
268,69.52,0
269,69.41,0
270,69.21,0
271,68.72,0
272,68.37,0
273,68.1,0
274,67.68,0
275,67.4,0
276,67.01,0
277,66.74,0
278,66.61,0
